SppCode,Genus,Species Name,Common Name
EUUN,Eugenia,underwoodii,Underwood's stopper
ACUN1,Acacia,undoolyana,Undoolya Wattle
GOHI,Gossypium,hirsutum,Upland cotton
CYMA22,Cyrtandra,macraei,Upland cyrtandra
FOLI,Forestiera,ligustrina,Upland swampprivet
ERUR4,Erythroxylum,urbanii,Urban's false cocaine
ILUR,Ilex,urbaniana,Urban's holly
COVE6,Colubrina,verrucosa,Urban's nakedwood
EUUR1,Eucalyptus,urnigera,Urn Gum
FEUT,Fendlerella,utahensis,Utah fendlerbush
FE2,Fendlerella,,Utah fendlerbush spp
LOUT2,Lonicera,utahensis,Utah honeysuckle
JUOS,Juniperus,osteosperma,Utah juniper
MOUT,Mortonia,utahensis,Utah mortonia
AMUT,Amelanchier,utahensis,Utah serviceberry
COPY,Coccoloba,pyrifolia,Uvera
COSI2,Coccoloba,sintenisii,Uvero de monte
COCO8,Coccoloba,costata,Uvilla
VAOL,Vaccinium,oldhamii,Vaccinium oldhamii
BUVA,Buxus,vahlii,Vahl's box
CEOP,Ceanothus,ophiochilus,Vail lake ceanothus
SEPE4,Senna,pendula,Valamuerto
CYCA8,Cyrtandra,calpidicarpa,Valley cyrtandra
CRAU2,Crataegus,austromontana,Valley head hawthorn
QUIT,Quercus,ithaburensis,Valonia Oak
ABVI2,Abutilon,virginianum,"Van dyke's indian mallow"
ACVE1,Acer,velutinum,Van Volxem's Maple
BAVA2,Banara,vanderbiltii,Vanderbilt palo de ramon
CHMU3,Chamaesyce,multiformis,Variable sandmat
HETE21,Hedyotis,terminalis,Variable starviolet
WISA,Wikstroemia,sandwicensis,Variableleaf false ohelo
DRGL2,Drypetes,glauca,Varital
ACVE,Acacia,verniciflua,Varnish wattle
EUVE2,Eucalyptus,vernicosa,Varnished Gum
VAVE,Varronia,verbenacea,Varronia verbenacea
ADVA,Adelia,vaseyi,Vasey's wild lime
BRLA5,Brunfelsia,lactea,Vega blanca
SEGR5,Sesbania,grandiflora,Vegetable hummingbird
LYVE6,Lysimachia,venosa,Veined yellow loosestrife
ACVE4,Acacia,venulosa,Veiny Wattle
PAVE6,Pandanus,veitchii,Veitch's screwpine
ABVE,Abies,veitchii,"Veitch's Silver Fir"
FRVE,Fraxinus,velutina,Velvet ash
PRVE,Prosopis,velutina,Velvet mesquite
LAVE4,Lantana,velutina,Velvet shrubverbena
MICA20,Miconia,calvescens,Velvet tree
CLMA24,Clerodendrum,macrostegium,Velvetleaf glorybower
TOAR2,Tournefortia,argentea,Velvetleaf soldierbush
MIDY,Mimosa,dysocarpa,Velvetpod mimosa
PIAU,Piper,auritum,Vera cruz pepper
RUVE5,Rubus,vermontanus,Vermont blackberry
RUVA3,Rubus,variispinus,Vicksburg blackberry
PIUN,Pittosporum,undulatum,Victorian box
PRLA1,Prostanthera,lasianthos,Victorian Christmas Bush
EUPS1,Eucalyptus,pseudoglobulus,Victorian eurabbie
RIVI2,Ribes,victoris,Victor's gooseberry
SYVI3,Syringa,villosa,Villous lilac
ACCI,Acer,circinatum,Vine maple
LOCO9,Lophostemon,confertus,Vinegartree
ACCI1,Acer,cissifolium,VineÅ]leaved Maple
MYVA,Myrsine,vaccinioides,Violet lake colicwood
OPGO,Opuntia,gosseliniana,Violet pricklypear
POCO5,Polygala,cowellii,Violet tree
ENVI,Encelia,virginensis,Virgin river brittlebush
PAQU,Parthenocissus,quinquefolia,Virginia creeper
SPVI2,Spiraea,virginiana,Virginia meadowsweet
PIVI,Pinus,virginiana,Virginia pine
ROVI2,Rosa,virginiana,Virginia rose
ROVI2,Rosa,virginiana,Virginia rose
BEUB,Betula,uber,Virginia roundleaf birch
ITVI,Itea,virginica,Virginia sweetspire
VIBI,Virola,bicuiba,Virola bicuiba
VIOL,Virola,oleifera,Virola oleifera
ACNE4,Acacia,neovernicosa,Viscid acacia
VOOP,Vochysia,oppugnata,Vochysia oppugnata
VOTU,Vochysia,tucanorum,Vochysia tucanorum
MEVO,Melicope,volcanica,Volcanic melicope
ATEM,Atamisquea,emarginata,Vomitbush
NUFL,Nuytsia,floribunda,W.A. Christmas tree
EUPA4,Eucalyptus,paliformis,Wadbilliga Ash
ACPE8,Acacia,peuce,Waddy
MYHE3,Myrsine,helleri,Wahiawa bog colicwood
DUPA5,Dubautia,pauciflorula,Wahiawa bog dubautia
CYSY,Cyanea,sylvestris,Wahiawa cyanea
DUSY,Dubautia,syndetica,Wahiawa dubautia
LALY2,Labordia,lydgatei,Wahiawa mountain labordia
CYKE,Cyrtandra,kealiae,Wahiawa mtn cyrtandra
ISPY,Isodendrion,pyrifolium,Wahine noho kula
PIGA2,Pittosporum,gayanum,Waialeale cheesewood
PIFL4,Pittosporum,flocculosum,Waianae range cheesewood
DUSH,Dubautia,sherffiana,Waianae range dubautia
PLFO2,Pleomele,forbesii,Waianae range hala pepe
LAKA,Labordia,kaalae,Waianae range labordia
LOMO3,Lobelia,monostachya,Waianae range lobelia
MECH2,Melicope,christophersenii,Waianae range melicope
CHTO3,Charpentiera,tomentosa,Waianae range papala
PRKA,Pritchardia,kaalae,Waianae range pritchardia
CYCA23,Cyanea,calycina,Waianae range rollandia
HEDE3,Hedyotis,degeneri,Waianae range starviolet
PSHA2,Psychotria,hathewayi,Waianae range wild coffee
CYWA,Cyrtandra,waianaeensis,Waianaeuka cyrtandra
LODU2,Lobelia,dunbarii,Waihanau lobelia
CLMU2,Clermontia,multiflora,Waihee clermontia
CYLO5,Cyanea,lobata,Waihee valley cyanea
CYKA9,Cyrtandra,kaulantha,Waikane valley cyrtandra
CLPA6,Clermontia,pallida,Wailai pali clermontia
MEWA3,Melicope,wailauensis,Wailau valley melicope
KOLA2,Kokia,lanceolata,Wailupe valley treecotton
PIAL2,Pipturus,albidus,Waimea pipturus
CLPE3,Clermontia,persicifolia,Waioiani clermontia
PRPE7,Pritchardia,perlmanii,Wai'oli pritchardia
CYPA23,Cyanea,parvifolia,Waioli valley rollandia
CLKO,Clermontia,kohalae,Waipio valley clermontia
CAPH,Caesalpinia,phyllanthoides,WaitÅ]aÅ]bit vine
ACCO3,Acacia,colletioides,WaitÅ]aÅ]while
ACAD,Acacia,adunca,Wallangara Wattle
EUSC,Eucalyptus,scoparia,Wallangarra white gum
CLWA3,Clerodendrum,wallichii,Wallich's glorybower
ACCA7,Acacia,calamifolia,Wallowa
BAAE,Banksia,aemula,Wallum Banksia
ACPA3,Acacia,pataczeki,Wally's Wattle
BURA,Buddleja,racemosa,Wand butterflybush
RUAR8,Rubus,arcuans,Wand dewberry
RUAR8,Rubus,arcuans,Wand dewberry
CAVI8,Caesalpinia,virgata,Wand holdback
ACWA,Acacia,wardellii,Wardell's Wattle
CRLI6,Crataegus,limata,Warm springs hawthorn
CRWA,Crataegus,warneri,Warner's hawthorn
COWA,Condalia,warnockii,Warnock's snakewood
APAN,Apophyllum,anomalum,Warrior Bush
CEPA2,Ceanothus,papillosus,Wartleaf ceanothus
CRPH,Crataegus,phaenopyrum,Washington hawthorn
PIWA,Pinus,washoensis,Washoe pine
BEOC,Betula,occidentalis,Water birch
PLAQ,Planera,aquatica,Water elm
TRLA,Tristaniopsis,laurina,Water gum; kanooka
CAAQ,Carya,aquatica,Water hickory
LYAN,Lycium,andersonii,Water jacket
GLAQ,Gleditsia,aquatica,Water locust
PISU,Pisonia,subcordata,Water mampoo
CILA,Citrullus,lanatus,Water melon
QUNI,Quercus,nigra,Water oak
NYAQ,Nyssa,aquatica,Water tupelo
ACRE2,Acacia,retinodes,Water wattle
MYAC,Myoporum,acuminatum,Waterbush
COWA1,Cotoneaster,watereri,Watere's Cotoneaster
SYAN,Syzygium,angophoroides,Watergum
CRLI12,Crataegus,limnophila,Waterloving hawthorn
FIWA,Ficus,watkinsiana,Watkins fig
POFL20,Poitea,florida,Wattapama
EUAC2,Eucalyptus,acaciiformis,Wattle Leaf Peppermint
EUAC,Eucalyptus,acaciformis,WattleÅ]leaved peppermint
MAPI2,Mahonia,pinnata,Wavyleaf barberry
GAEL,Garrya,elliptica,Wavyleaf silktassel
CHSI,Chromolaena,sinuata,Wavyleaf thoroughwort
RICE,Ribes,cereum,Wax currant
EUST7,Eucalyptus,strzeleckii,WaxÅ]tip
ACME4,Acacia,melleodora,Waxy Wattle
LIQU2,Ligustrum,quihoui,Waxyleaf privet
VILA,Viburnum,lantana,Wayferry tree
EUWE,Eucalyptus,websterana,Websters Mallee
PHCU4,Phyllanthus,cuneifolius,Wedge leafÅ]flower
CAVI,Callistemon,viminalis,Weeping bottlebrush
FOSU,Forsythia,suspensa,Weeping forsythia
COBE,Corymbia,bella,Weeping Ghost Gum
WAFL,Syzygium,floribundum,Weeping lilly pilly
ACPE1,Acacia,pendula,Weeping myall
PIPH1,Pittosporum,phillyreoides,Weeping Pittosporum
EULA,Eucalyptus,lacrimans,Weeping snowgum
LEMA,Leptospermum,madidum,Weeping TeaÅ]tree
WESU,Weigela,subsessilis,weigela
ARWE,Arctostaphylos,wellsii,Wells' manzanita
OCPY,Ochroma,pyramidale,West indian balsa
FRSP2,Frangula,sphaerosperma,West indian buckthorn
CRST6,Croton,stenophyllus,West indian croton
SWMA,Swietenia,mahogani,West indian mahogany
CHAL8,Chiococca,alba,West indian milkberry
LAUR2,Lantana,urticoides,West indian shrubverbena
TOSC3,Tournefortia,scabra,West indian soldierbush
BRCO6,Brunellia,comocladiifolia,West indian sumac
JUJA,Juglans,jamaicensis,West indian walnut
PRMY,Prunus,myrtifolia,West indies cherry
SWMA1,Swietenia,mahagoni,West Indies Mahogany
ZAFL,Zanthoxylum,flavum,West indies satinwood
RHOC,Rhododendron,occidentale,Western azalea
PROC,Prunus,occidentalis,Western cherry laurel
CERE,Celtis,reticulata,Western hackberry
TSHE,Tsuga,heterophylla,Western hemlock
JUOC,Juniperus,occidentalis,Western juniper
LEGL,Ledum,glandulosum,Western labrador tea
LAOC,Larix,occidentalis,Western larch
DIOC3,Dirca,occidentalis,Western leatherwood
PHOC2,Philadelphus,occidentalis,Western mock orange
SOSI2,Sorbus,sitchensis,Western mountain ash
ACPA2,Acacia,papyrocarpa,Western Myall
SOLE3,Sophora,leachiana,Western necklacepod
THPL,Thuja,plicata,Western redcedar
AMFL,Amelanchier,alnifolia,Western serviceberry
CAOC5,Calycanthus,occidentalis,Western sweetshrub
EUOC,Euonymus,occidentalis,Western wahoo
LOAL,Lonicera,albiflora,Western white honeysuckle
PIMO3,Pinus,monticola,Western white pine
CYHA6,Cyanea,hamatiflora,Wetforest cyanea
COMA4,Corokia,macrocarpa,Whakataka
RUWH,Rubus,whartoniae,Wharton's dewberry
ENAR,Entelea,arborescens,Whau
RUWH2,Rubus,wheeleri,Wheeler's blackberry
EUMU1,Eucalyptus,multicaulis,Whipstick mallee ash
ALRH,Alnus,rhombifolia,White alder
BODA,Bontia,daphnoides,White alling
SYFO,Syzygium,forte,White Apple
FRAM,Fraxinus,americana,White ash
FIGL,Ficus,glabra,white banyan
GMLE,Gmelina,leichhardtii,White Beech
SCOB,Schoepfia,obovata,White beefwood
CASA5,Callistemon,salignus,White bottlebrush
SYAR,Syzygium,armstrongii,White Bush Apple
TAPA,Tabebuia,heterophylla,White cedar
ALSC,Alstonia,scholaris,White Cheesewood
MALA8,Maytenus,laevigata,White cinnamon
MACO,Maranthes,corymbosa,White Cloud Tree
HORA,Homalium,racemosum,White cogwood
COGL17,Coronilla,globosa,White crownvetch
CAGL3,Callitris,glaucaphylla,White Cypress
CACO1,Callitris,columellaris,White cypressÅ]pine
CAGL2,Callitris,glaucophylla,White cyprus pine
TABA2,Tabebuia,bahamensis,White dwarf tabebuia
FIVI,Ficus,virens,White Fig
ABCO,Abies,concolor,"White fir"
SAUM3,Sagraea,umbrosa,White hogwood
RAAC,Randia,aculeata,White indigoberry
EULE,Eucalyptus,leucoxylon,White ironbark
IXTH,Ixora,thwaitesii,White jungleflame
HIWA,Hibiscus,waimeae,White kauai rosemallow
KUAM,Kunzea,ambigua,White Kunzea
LELE,Leucaena,leucocephala,White lead tree
EUAC1,Eucalyptus,acmenoides,White mahogany
EUDU,Eucalyptus,dumosa,White mallee
LARA,Laguncularia,racemosa,White mangrove
SPAL2,Spiraea,alba,White meadowsweet
HEPO4,Heliocarpus,popayanensis,White moho
EUFR,Eucalyptus,fraxinoides,White mountain ash
MOAL,Morus,alba,White mulberry
QUAL,Quercus,alba,White oak
MELE,Melaleuca,leucadendra,White paperbark
EUPU,Eucalyptus,pulchella,White peppermint
POAL,Populus,alba,White poplar
ZAPO,Zapoteca,portoricensis,White Powderpuff Tree
ZAMA,Zanthoxylum,martinicense,White pricklyash
TRRA4,Trophis,racemosa,White ramoon
HIAR,Hibiscus,arnottianus,White rosemallow
CHDO4,Chionanthus,domingensis,White rosewood
FIFR,Ficus,fraseri,White Sandpaper Fig
CAED,Casimiroa,edulis,White sapote
CYMU3,Cytisus,multiflorus,White spanishbroom
SPBE2,Spiraea,betulifolia,White spirea
PIGL1,Picea,glauca,White spruce
ACXA,Acacia,xanthina,White Stemmed Wattle
EUAX,Eugenia,axillaris,White stopper
EUGL2,Eucalyptus,globoidea,White stringybark
CABR,Calytrix,brownii,White Turkey Bush
SAAL4,Salix,alba,White willow
GRHI,Grevillea,hilliana,White Yiel Yiel
PIAL,Pinus,albicaulis,Whitebark pine
SEBA2,Senna,bacillaris,Whitebark senna
SOAR,Sorbus,aria,Whitebeam
EUAL80,Eucalyptus,albens,Whitebox
ALGR2,Aloysia,gratissima,Whitebrush
ALSA10,Albizia,saponaria,Whiteflower albizia
RIIN,Ribes,indecorum,Whiteflower currant
ERGI5,Ericameria,gilmanii,Whiteflower goldenbush
MISP6,Miconia,splendens,WhiteÅ]flower johnnyberry
CHAL9,Chrysothamnus,albidus,Whiteflower rabbitbrush
ARVI7,Arctostaphylos,viridissima,Whitehair manzanita
ARMA,Arctostaphylos,manzanita,Whiteleaf manzanita
RIIN2,Ribes,inerme,Whitestem gooseberry
ACCO2,Acacia,constricta,Whitethorn acacia
CECO,Ceanothus,cordulatus,Whitethorn ceanothus
EUQU,Eucalyptus,quadrangulata,WhiteÅ]topped box
KACU,Kalmia,cuneata,Whitewicky
COKR,Coccoloba,krugii,Whitewood
ROTO,Rosa,tomentosa,Whitewoolly rose
ROTO,Rosa,tomentosa,Whitewoolly rose
ACFR2,Acradenia,frankliniae,Whitey Wood
CRWI2,Croton,wigginsii,Wiggins' croton
BEWI,Berberis,wilcoxii,Wilcox's barberry
MIGU2,Micropholis,guyanensis,Wild balata
FICI,Ficus,citrifolia,Wild banyantree
PAIN7,Pachira,insignis,Wild chestnut
MAGL6,Malpighia,glabra,Wild crapemyrtle
PHSY,Phoenix,sylvestris,Wild date palm
MAJA2,Manilkara,jaimiqui,Wild dilly
FIIN,Ficus,insipida,wild fig
CADE11,Casearia,decandra,Wild honeytree
HYAR,Hydrangea,arborescens,Wild hydrangea
ADRI,Adelia,ricinella,Wild lime
CRAS3,Croton,astroites,Wild marrow
PHLE,Philadelphus,lewisii,Wild mock orange
JAHE,Jatropha,hernandiifolia,Wild oilnut
CAMI,Capparis,mitchellii,Wild Orange
JASP,Jacaratia,spinosa,wild papaya
PYPA,Pyrus,pashia,Wild pear
PIRI5,Piloblephis,rigida,Wild pennyroyal
HACA1,Harpephyllum,caffrum,Wild Plum
SOTO,Sorbus,torminalis,Wild Service Tree
FUSE,Furcraea,selloa,Wild sisal
ROMU3,Rollinia,mucosa,Wild sugar apple
ANMU1,Annona,mucosa,wild sweetsop
LYBA,Lysiloma,bahamensis,Wild tamarind
PRMU,Prunus,munsoniana,Wildgoose plum
GEPA,Geijera,parviflora,Wilga; australian willow
ERSA11,Erythrina,sandwicensis,Wili wili
ACSA3,Acacia,salicina,Willow acacia
DISA,Sideroxylon,salicifolium,Willow bustic
CRSA,Crataegus,saligna,Willow hawthorn
QUPH,Quercus,phellos,Willow oak
SPSA2,Spiraea,salicifolia,Willowleaf meadowsweet
SASA8,Santalum,salicifolium,Willowleaf sandalwood
COSA,Cotoneaster,salicifolius,WillowÅ]leaved Cotoneaster
EUNI,Eucalyptus,nicholii,WillowÅ]leaved gimlet
HASA,Hakea,salicifolia,WillowÅ]leaved hakea
MASA,Magnolia,salicifolia,WillowÅ]leaved Magnolia
PYSA,Pyrus,salicifolia,WillowÅ]leaved Pear
ULWI,Ulmus,wilsoniana,Wilson elm
ILAL,Ilex,altaclarensis,Wilson holly
MAWI,Magnolia,wilsonii,Wilson's Magnolia
TRFO,Trachycarpus,fortunei,Windmill palm
CYSE7,Cyrtandra,sessilis,Windyridge cyrtandra
VIVI,Vitis,vinifera,Wine grape
CAUR,Caryota,urens,Wine palm
EUAL8,Euonymus,alata,Winged burning bush
EUAL,Euonymus,alatus,Winged burningbush
ULAL,Ulmus,alata,Winged elm
SASA,Sapindus,saponaria,Wingleaf soapberry
AYAR,Ayenia,ardua,Wingstem ayenia
EUFO,Euonymus,fortunei,Winter creeper
JANU,Jasminum,nudiflorum,Winter jasmine
EUBU6,Euonymus,bungeanum,Winterberry
ACCO8,Acacia,coriaceae,Wirewood
ACEX1,Acacia,extensa,Wiry Wattle
RUWI,Rubus,wisconsinensis,Wisconsin blackberry
SEWI3,Senna,wislizeni,Wislizenus' senna
LIIN,Livistona,inermis,Wispy Fan Palm
HAVI,Hamamelis,virginiana,Witch hazel
ACKE,Acacia,kempeana,Witchetty Bush
ACAS,Acacia,assimilis,Wodjil
EUOL,Eucalyptus,olsenii,Woila gum
RIWO,Ribes,wolfii,Wolf's currant
SAWO,Salix,wolfii,Wolf's willow
EUGR1,Eucalyptus,gregsoniana,Wolgan snow gum
WONO,Wollemia,nobilis,Wollemi Pine
CAWO5,Calyptranthes,woodburyi,Woodbury's lidflower
SOWO,Solanum,woodburyi,Woodbury's nightshade
MAWO,Malpighia,woodburyana,Woodbury's stingingbush
EUWO2,Eugenia,woodburyana,Woodbury's stopper
BUPO5,Bunchosia,polystachia,Woodland coffee
NESE2,Neraudia,sericea,Woodland ma'oloa
CORH,Coprosma,rhynchocarpa,Woodland mirrorplant
PSHE2,Psychotria,hexandra,Woodland wild coffee
HIWO,Hibiscadelphus,woodii,Wood's hau kuahiwi
ROWO,Rosa,woodsii,Woods' rose
ROWO,Rosa,woodsii,Woods' rose
XYPY,Xylomelum,pyriforme,Woody Pear
BUMA,Buddleja,marrubiifolia,Woolly butterflybush
GRLA,Grevillea,lanigera,Woolly Grevillea
CRLA3,Crataegus,lanuginosa,Woolly hawthorn
GAMO3,Gaylussacia,mosieri,Woolly huckleberry
ASIN12,Asimina,incana,Woolly pawpaw
LELA,Leptospermum,lanigerum,Woolly TeaÅ]tree
ERTO,Eriodictyon,tomentosum,Woolly yerba santa
ACLU,Acacia,lucasii,WoollyÅ]bear Wattle
EULO,Eucalyptus,longifolia,Woollybutt
OPTO2,Opuntia,tomentosa,Woollyjoint pricklypear
ARTO2,Arctostaphylos,tomentosa,Woollyleaf manzanita
CETO,Ceanothus,tomentosus,Woolyleaf ceanothus
CRWO,Crataegus,wootoniana,Wooton's hawthorn
PHWO,Philadelphus,wootonii,Wooton's mock orange
CAAR2,Senna,artemisioides,Wormwood senna
ANQU2,Anisacanthus,quadrifidus,Wright desert honeysuckle
WRPU,Wrightia,pubescens,Wrightia
ALWR,Aloysia,wrightii,Wright's beebrush
ANWR6,Antidaphne,wrightii,Wright's catkin mistletoe
FEWR,Fendlera,wrightii,Wright's fendlerbush
OCWR,Ocotea,wrightii,Wright's laurel canelon
SAWR,Sageretia,wrightii,Wright's mock buckthorn
GAWR3,Garrya,wrightii,Wright's silktassel
ACCA1,Acacia,cardiophylla,Wyalong wattle
ULGL,Ulmus,glabra,Wych elm
XYBR,Xylopia,brasiliensis,Xylopia brasiliensis
XYSE,Xylopia,sericea,Xylopia sericea
XYCI,Xylosma,ciliatifolia,Xylosma ciliatifolia
XYPS,Xylosma,pseudosalzmanii,Xylosma pseudosalzmanii
ACLO2,Acacia,longiphyllodinea,Yalgoo
GUCO,Gundlachia,corymbosa,Yambush
EUYA,Eucalyptus,yarraensis,Yarra gum
ACOM,Acacia,omalophylla,Yarran
BUYA,Butia,yatay,Yatay Palm
EUCO3,Eucalyptus,cornuta,Yate
COGE,Cordia,gerascanthus,Yauco
ILVO,Ilex,vomitoria,Yaupon
MOAR3,Montrichardia,arborescens,Yautia madera
PIJE,Picea,jezoensis,Yeddo spruce
ILPA,Illicium,parviflorum,Yellow anisetree
CRRI2,Croton,rigidus,Yellow balsam
BEAL,Betula,alleghaniensis,Yellow birch
COEX,Corymbia,eximia,Yellow bloodwood
EUME,Eucalyptus,melliodora,Yellow box
AEFL,Aesculus,flava,Yellow buckeye
PACR18,Palicourea,croceoides,Yellow cedar
POEL2,Pomaderris,elliptica,Yellow Dogwood
SAAU,Sambucus,australasica,Yellow Elderberry
HANO,Hakea,nodosa,Yellow Hakea
LOFL,Lonicera,flava,Yellow honeysuckle
SIFA,Sida,fallax,Yellow llima
SPMO,Spondias,mombin,Yellow mombim
SOTO3,Sophora,tomentosa,Yellow necklacepod
CEMI,Parkinsonia,microphylla,Yellow paloverde
PEDU,Peltophorum,dubium,yellow poinciana
TASE4,Tabebuia,serratifolia,Yellow poui
ZAMO,Zanthoxylum,monophyllum,Yellow prickle
CHVI8,Chrysothamnus,viscidiflorus,Yellow rabbitbrush
ROXA2,Rosa,xanthina,Yellow rose
ROXA2,Rosa,xanthina,Yellow rose
EUMU2,Eucalyptus,muelleriana,Yellow Stringybark
HACH,Handroanthus,chrysotrichus,yellow trumpet tree
CLFU,Clermontia,fulva,Yellowflower clermontia
CRFL2,Crataegus,flava,Yellowleaf hawthorn
SCEX2,Schradera,exotica,Yellowshrub
EULU,Eucalyptus,luehmanniana,YellowÅ]top mallee ash
CLLU,Cladrastis,kentukea,Yellowwood
BAPT,Baccharis,pteronioides,Yerba de pasmo
ROFR,Rolandra,fruticosa,Yerba de plata
CACO3,Casearia,commersoniana,yerce
EUCO6,Eucalyptus,consideniana,Yertchuk
BRUN,Brunfelsia,uniflora,YesterdayÅ]todayÅ]tomorrow
ACJU,Acacia,jucunda,Yetman Wattle
POMA,Podocarpus,macrophyllus,Yew podocarpus
EUGR4,Eucalyptus,gracilis,Yorrel
PRYE,Prunus,yedoensis,Yoshino flowering cherry
EUYO,Eucalyptus,youmanii,Yourman's stringybark
POCO3,Podocarpus,coriaceus,Yucca plum pine
BAYU,Bauhinia,yunnanensis,Yunnan bauhinia
PIYU,Pinus,yunnanensis,Yunnan pine
POYU,Populus,yunnanensis,Yunnan poplar
SCGL6,Schefflera,gleasonii,Yuquilla
MAPL2,Manilkara,pleeana,Zapote de costa
PHZE,Philadelphus,zelleri,Zeller's mock orange
ACMA4,Acacia,macradenia,ZigÅ]zag Wattle
ZOGL,Zollernia,glabra,Zollernia glabra
ZOIL,Zollernia,ilicifolia,Zollernia ilicifolia
ZYLO,Zygia,longifolia,Zygia longifolia
EU1,Eucalyptus,,gum spp
FI1,Ficus,,fig spp
FR,Fraxinus,,ash spp
PE18,Persea,,bay spp
QU,Quercus,,oak spp
TA,Taxus,,yew spp
ULS,Ulmus,,elm spp
AC3,Acca,,acca spp
AL8,Aloe,,aloe spp
BI5,Bixa,,bixa spp
CY10,Cyrilla,,titi spp
DA8,Dais,,dais spp
ER16,Erythroxylum,,coca spp
HE1,Hebe,,hebe spp
IN2,Inga,,inga spp
IR,Iris,,iris spp
LE24,Leea,,leea spp
LU7,Luma,,luma spp
NO2,Nothocestrum,,aiea spp
NY1,Nypa,,nypa spp
PE12,Pera,,pera spp
PI2,Pinus,,pine spp
PR,Prunus,,plum spp
PY,Pyrus,,pear spp
RO,Rosa,,rose spp
RO,Rosa,,rose spp
SA12,Salvia,,sage spp
ZE3,Zea,,corn spp
AC,Acer,,maple spp
AG5,Agave,,agave spp
AI,Aidia,,aidia spp
AL,Alnus,,alder spp
AN6,Aniba,,aniba spp
AN15,Antirhea,,quina spp
AU1,Aucuba,,acuba spp
AZ2,Azara,,azara spp
BE,Betula,,birch spp
CA21,Calyptronoma,,manac spp
CA30,Capparis,,caper spp
CE7,Cedrus,,cedar spp
CE8,Ceiba,,ceiba spp
CH10,Chrysanthemum,,daisy spp
CO44,Couratari,,mahot spp
CY4,Cycas,,cycad spp
CY12,Cytisus,,broom spp
DI11,Ditta,,ditta spp
ER2,Erica,,erica spp
ES3,Esenbeckia,,jopoy spp
EU9,Eurya,,eurya spp
FA,Fagus,,beech spp
GU,Guioa,,guioa spp
HA4,Hakea,,hakea spp
HE22,Heteromeles,,toyon spp
HE23,Heteropterys,,withe spp
HO2,Hopea,,hopea spp
HO1,Howea,,howea spp
ILSP,Ilex,,holly spp
IX1,Ixora,,ixora spp
LA10,Larix,,larch spp
MA2,Malus,,apple spp
MA25,Mangifera,,mango spp
ME8,Melia,,melia spp
ME20,Metrosideros,,lehua spp
OC1,Ochna,,ochna spp
OL2,Olea,,olive spp
PS13,Psidium,,guava spp
PS16,Psorothamnus,,dalea spp
PU3,Pueraria,,kudzu spp
RE1,Remya,,remya spp
RHSP,Rhus,,sumac spp
SA26,Savia,,savia spp
SE7,Senna,,senna spp
SI6,Sideroxylon,,bully spp
SYSP,Syringa,,lilac spp
TR4,Trema,,trema spp
UL1,Ulex,,gorse spp
UR2,Urera,,urera spp
VISP1,Vitis,,grape spp
WI3,Wilkesia,,iliau spp
YU1,Yucca,,yucca spp
ZY,Zygia,,zygia spp
ACSP2,Acacia,,acacia spp
AG3,Agonis,,agonis spp
AI3,Aiouea,,aiouea spp
AL6,Alhagi,,alhagi spp
AL19,Alseis,,alseis spp
AN3,Andira,,andira spp
AN8,Annona,,annona spp
AP1,Apeiba,,apeiba spp
AS3,Asimina,,pawpaw spp
AY1,Ayenia,,ayenia spp
BA2,Bambusa,,bamboo spp
BO3,Bombax,,bombax spp
BO6,Bontia,,bontia spp
BU2,Bucida,,bucida spp
CA5,Caesalpinia,,nicker spp
CA39,Carapa,,carapa spp
CA33,Carica,,papaya spp
CASSI,Cassia,,cassia spp
CA52,Casuarina,,sheoak spp
CE18,Cercis,,redbud spp
CH13,Charpentiera,,papala spp
CH20,Chione,,chione spp
CISP,Citrus,,citrus spp
CO10,Coffea,,coffee spp
CO11,Cojoba,,cojoba spp
CO29,Cordia,,cordia spp
CR9,Croton,,croton spp
CY1,Cyanea,,cyanea spp
DA,Dahlia,,dahlia spp
DA4,Daphne,,daphne spp
DE12,Derris,,derris spp
DY1,Dypsis,,dypsis spp
EM3,Emorya,,emorya spp
ER7,Eriobotrya,,loquat spp
EU8,Euphorbia,,spurge spp
FA5,Fatsia,,fatsia spp
FE,Feijoa,,feijoa spp
GE3,Genipa,,genipa spp
GI2,Ginkgo,,ginkgo spp
GL3,Gleditsia,,locust spp
GO4,Goodia,,goodia spp
GO8,Gossypium,,cotton spp
GR5,Grewia,,grewia spp
GU8,Guadua,,guadua spp
GU3,Guarea,,guarea spp
HE6,Heimia,,heimia spp
HI2,Hillia,,hillia spp
IN1,Indigofera,,indigo spp
JA2,Jagera,,jagera spp
JU3,Jubaea,,jubaea spp
JU1,Juglans,,walnut spp
KASP,Kalmia,,laurel spp
KE3,Kerria,,kerria spp
KR1,Krameria,,ratany spp
KU,Kunzea,,kunzea spp
LA3,Laetia,,laetia spp
LISP,Ligustrum,,privet spp
LI8,Lippia,,lippia spp
LI12,Litchi,,lychee spp
LI13,Lithocarpus,,tanoak spp
LI17,Litsea,,litsea spp
LU2,Luehea,,luehea spp
MA22,Mammea,,mammea spp
MA30,Mappia,,mappia spp
MA38,Maytenus,,mayten spp
ME,Meryta,,meryta spp
MU5,Musa,,banana spp
MY6,Myristica,,nutmeg spp
MY9,Myrtus,,myrtus spp
NY2,Nyssa,,tupelo spp
OL3,Olneya,,olneya spp
